classe,subset,codigo,produto,arquivo,largura,altura,canais,url_origem,caminho
bebida,train,6111035001710,Ain Atlas 33cl EAU MINÉRALE NATURELLE,bebida_6111035001710.jpg,209,400,3,https://images.openfoodfacts.org/images/products/611/103/500/1710/front_fr.47.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_6111035001710.jpg
bebida,train,3254380008430,"CRISTALINE Eau De Source Pétillante 1,5L",bebida_3254380008430.jpg,107,400,3,https://images.openfoodfacts.org/images/products/325/438/000/8430/front_fr.192.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_3254380008430.jpg
bebida,train,6111251420166,Eau,bebida_6111251420166.jpg,142,400,3,https://images.openfoodfacts.org/images/products/611/125/142/0166/front_en.51.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_6111251420166.jpg
bebida,train,3068320120256,Eau minérale naturelle,bebida_3068320120256.jpg,128,400,3,https://images.openfoodfacts.org/images/products/306/832/012/0256/front_en.61.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_3068320120256.jpg
bebida,train,6111035003004,Oulmes Eau Gazeuse,bebida_6111035003004.jpg,134,400,3,https://images.openfoodfacts.org/images/products/611/103/500/3004/front_fr.12.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_6111035003004.jpg
bebida,train,3057640257773,Eau Minérale Naturelle,bebida_3057640257773.jpg,143,400,3,https://images.openfoodfacts.org/images/products/305/764/025/7773/front_en.343.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_3057640257773.jpg
bebida,train,6111035000058,Eau minérale naturelle,bebida_6111035000058.jpg,300,400,3,https://images.openfoodfacts.org/images/products/611/103/500/0058/front_en.134.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_6111035000058.jpg
bebida,train,3068320123264,La salvetat,bebida_3068320123264.jpg,244,400,3,https://images.openfoodfacts.org/images/products/306/832/012/3264/front_fr.100.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_3068320123264.jpg
bebida,train,6111251420272,Aïn Ifran Eau minérale naturelle,bebida_6111251420272.jpg,180,400,3,https://images.openfoodfacts.org/images/products/611/125/142/0272/front_en.23.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_6111251420272.jpg
bebida,train,6111035502941,Eau minérale naturelle gazeuse,bebida_6111035502941.jpg,169,400,3,https://images.openfoodfacts.org/images/products/611/103/550/2941/front_fr.3.400.jpg,banco_imagens_q3/organizado/train/bebida/bebida_6111035502941.jpg
bebida,val,6111035001024,Oulmès eau minerale naturellement gazeuse,bebida_6111035001024.jpg,116,400,3,https://images.openfoodfacts.org/images/products/611/103/500/1024/front_fr.15.400.jpg,banco_imagens_q3/organizado/val/bebida/bebida_6111035001024.jpg
bebida,val,6111035001659,Ain Atlas,bebida_6111035001659.jpg,300,400,3,https://images.openfoodfacts.org/images/products/611/103/500/1659/front_fr.21.400.jpg,banco_imagens_q3/organizado/val/bebida/bebida_6111035001659.jpg
bebida,test,6111273590021,Acyl,bebida_6111273590021.jpg,99,400,3,https://images.openfoodfacts.org/images/products/611/127/359/0021/front_fr.4.400.jpg,banco_imagens_q3/organizado/test/bebida/bebida_6111273590021.jpg
bebida,test,6111128000163,Ain Saiss Eau Minerale Naturelle,bebida_6111128000163.jpg,400,120,3,https://images.openfoodfacts.org/images/products/611/112/800/0163/front_fr.63.400.jpg,banco_imagens_q3/organizado/test/bebida/bebida_6111128000163.jpg
bebida,test,6111035001635,Ain Atlas,bebida_6111035001635.jpg,300,400,3,https://images.openfoodfacts.org/images/products/611/103/500/1635/front_en.38.400.jpg,banco_imagens_q3/organizado/test/bebida/bebida_6111035001635.jpg
chocolate,train,8003340073545,Lindor Latte,chocolate_8003340073545.jpg,242,400,3,https://images.openfoodfacts.org/images/products/800/334/007/3545/front_it.93.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_8003340073545.jpg
chocolate,train,3046920020206,Lindt Chocolat au lait praliné noisettes,chocolate_3046920020206.jpg,185,400,3,https://images.openfoodfacts.org/images/products/304/692/002/0206/front_fr.26.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_3046920020206.jpg
chocolate,train,3664346306652,Rocher Suchard noir (7 x 35g) 245 g e,chocolate_3664346306652.jpg,400,63,3,https://images.openfoodfacts.org/images/products/366/434/630/6652/front_fr.34.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_3664346306652.jpg
chocolate,train,3046920042932,Création Rocher Noir,chocolate_3046920042932.jpg,185,400,3,https://images.openfoodfacts.org/images/products/304/692/004/2932/front_fr.125.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_3046920042932.jpg
chocolate,train,3760336830357,Pâte à tartiner praliné,chocolate_3760336830357.jpg,329,400,3,https://images.openfoodfacts.org/images/products/376/033/683/0357/front_fr.41.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_3760336830357.jpg
chocolate,train,3168930009788,Quaker Cruesli Chocolat noisette,chocolate_3168930009788.jpg,281,400,3,https://images.openfoodfacts.org/images/products/316/893/000/9788/front_fr.95.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_3168930009788.jpg
